STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975Q1,24784.0815427407,23544.8774656037,1239.20407713704,5%,0.221856335808507,0.0000229868274194641
AL,1975Q2,25101.6389946537,23846.557044921,1255.08194973269,5%,0.224698972222877,0.0000278560254764936
AL,1975Q3,25472.2055003928,24198.5952253732,1273.61027501964,5%,0.228016122668612,0.0000365565532896596
AL,1975Q4,25903.2702488999,24608.1067364549,1295.163512445,5%,0.231874827113039,0.0000481972752472974
AL,1976Q1,26447.3142210794,25124.9485100254,1322.36571105397,5%,0.236744872508035,0.0000619396993012775
AL,1976Q2,27058.9070061235,25695.5227102832,1363.38429584031,5.03857859274127%,0.242219585543611,0.0000755184866108226
AL,1976Q3,27747.718990696,26134.9539040774,1612.76508661857,5.81224383582426%,0.24838553132194,0.0000894707776757801
AL,1976Q4,28531.9532507005,26653.6388174236,1878.3144332769,6.58319609867852%,0.255405655874067,0.000104398567084784
AL,1977Q1,29394.2248427976,27217.2124070741,2177.01243572351,7.40625904362617%,0.263124336736399,0.000121121164206469
AL,1977Q2,30305.9093289551,27803.9583907563,2501.95093819889,8.25565374409818%,0.271285340369459,0.000139554083155564
AL,1977Q3,31232.0387037513,28387.9374679265,2844.10123582481,9.10635793840511%,0.279575648373109,0.000159121165391628
AL,1977Q4,32123.789808233,28944.8816173178,3178.90819091514,9.89580684561826%,0.287558217029217,0.000178477885286378
AL,1978Q1,33016.0908841319,29468.2754994575,3547.81538467442,10.7457160725819%,0.295545708790634,0.00020030640342065
AL,1978Q2,33972.5119195613,29977.9136900533,3994.59822950794,11.7583246095142%,0.304107174586516,0.000226397597021347
AL,1978Q3,34999.9909668614,30524.3578028839,4475.63316397756,12.7875266259788%,0.313304720848657,0.000254576470881055
AL,1978Q4,35986.0135714606,31151.7648744062,4834.24869705435,13.4336877505327%,0.322131167037655,0.000275877713284554
AL,1979Q1,36896.923157096,31886.1620685308,5010.76108856516,13.5804307238055%,0.330285234097731,0.000286605172151623
AL,1979Q2,37707.510089415,32707.1929555653,5000.31713384969,13.2607990344432%,0.337541256329114,0.000286777077969727
AL,1979Q3,38429.9786243306,33567.7920836254,4862.18654070516,12.6520667321601%,0.3440084809312,0.000279542684873625
AL,1979Q4,39064.2516662112,34424.561319211,4639.69034700025,11.8770746887579%,0.349686217777373,0.000267344669571634
AL,1980Q1,39592.6167639946,35238.9902269514,4353.62653704323,10.9960565703311%,0.354415912697121,0.000251253216792964
AL,1980Q2,40192.66,36005.7892717876,4186.87072821242,10.4170033240209%,0.359787239184942,0.000242092842857179
AL,1980Q3,40851.7104916224,36720.3483783153,4131.36211330711,10.1130700859009%,0.36568677300192,0.000239334722217866
AL,1980Q4,41428.1733613738,37379.4290562301,4048.74430514366,9.77292498471238%,0.370847018290499,0.000234983783451014
AL,1981Q1,41923.3375794856,37990.015313209,3933.32226627659,9.38217826483665%,0.375279513352474,0.000228874509929189
AL,1981Q2,42377.5297896874,38577.4098764247,3800.11991326262,8.96729925534118%,0.379345244791194,0.000221446297154467
AL,1981Q3,42750.6665763717,39184.3261910773,3566.3403852944,8.34218661578838%,0.382685403275841,0.000208050687399254
AL,1981Q4,43025.039150436,39850.5630377575,3174.47611267844,7.37820621517382%,0.385141467416175,0.000185322825172289
AL,1982Q1,43326.5560149816,40598.3433998143,2728.21261516724,6.29686009251202%,0.387840515457846,0.000159305694855807
AL,1982Q2,43738.2395337207,41371.8130358501,2366.42649787064,5.410429233317%,0.391525727549435,0.000138202997609299
AL,1982Q3,44314.2782350766,42098.5643233228,2215.71391175383,5%,0.396682175866727,0.000129408970423315
AL,1982Q4,45054.6095255649,42801.8790492866,2252.73047627824,5%,0.403309300100032,0.000137224827365835
AL,1983Q1,45820.6740478533,43529.6403454606,2291.03370239267,5%,0.410166777050094,0.000157546186812494
AL,1983Q2,46584.5037933908,44255.2786037212,2329.22518966954,5%,0.417004249249104,0.000190663186787651
AL,1983Q3,47367.1750441367,44998.8162919298,2368.35875220683,5%,0.424010382421064,0.000240607790666403
AL,1983Q4,48162.211280826,45754.1007167847,2408.1105640413,5%,0.431127201577857,0.000310794943318449
AL,1984Q1,48991.9139808853,46542.3182818411,2449.59569904427,5%,0.43855433986128,0.000408142480594938
AL,1984Q2,49735.5054905932,47248.7302160635,2486.77527452966,5%,0.445210648161332,0.000518133224991425
AL,1984Q3,50417.4298246518,47896.5583334192,2520.8714912326,5%,0.451314938683133,0.00063474696353187
AL,1984Q4,51031.5979140199,48480.0180183189,2551.579895701,5%,0.456812704724725,0.000740604605342112
AL,1985Q1,51697.03497865,49112.1832297175,2584.8517489325,5%,0.462769408369982,0.000850659413879838
AL,1985Q2,52485.0380682879,49860.7861648735,2624.2519034144,5%,0.469823269848422,0.000994247521612544
AL,1985Q3,53375.310804422,50706.5452642009,2668.7655402211,5%,0.477792604793044,0.00118823558591216
AL,1985Q4,54327.7552704578,51611.3675069349,2716.38776352289,5%,0.486318474066488,0.00144962895456185
AL,1986Q1,55337.3409770111,52570.4739281606,2766.86704885056,5%,0.495355846912212,0.00181675497699814
AL,1986Q2,56396.0867236842,53576.2823875,2819.80433618421,5%,0.504833279089985,0.00232617022266949
AL,1986Q3,57465.1364920079,54591.8796674075,2873.25682460039,5%,0.514402948395189,0.00299415307867684
AL,1986Q4,58499.5932290921,55574.6135676375,2924.97966145461,5%,0.523662955906306,0.00381096724525582
AL,1987Q1,59450.2884628229,56477.7740396817,2972.51442314115,5%,0.532173166811737,0.00471772330402033
AL,1987Q2,60285.4998233099,57271.2248321444,3014.2749911655,5%,0.539649616231246,0.0056290663621622
AL,1987Q3,61009.58429013,57959.1050756235,3050.47921450651,5%,0.546131305954044,0.00648115787375596
AL,1987Q4,61662.3449885928,58579.2277391632,3083.11724942965,5%,0.551974536273918,0.00728349152431305
AL,1988Q1,62297.4483640722,59182.5759458686,3114.87241820362,5%,0.557659705905904,0.00811499701194801
AL,1988Q2,62862.5490213619,59719.4215702938,3143.1274510681,5%,0.562718241602418,0.00881684314189737
AL,1988Q3,63354.5852480814,60186.8559856774,3167.72926240407,5%,0.567122736243738,0.00932532242762539
AL,1988Q4,63831.3570936357,60639.789238954,3191.56785468179,5%,0.571390590773224,0.00976104985652313
AL,1989Q1,64371.4924208674,61152.9177998241,3218.57462104337,5%,0.576225647675926,0.0103555806370409
AL,1989Q2,64998.8893557422,61748.9448879551,3249.94446778711,5%,0.581841832598041,0.0112473567718083
AL,1989Q3,65674.936247523,62391.1894351468,3283.74681237615,5%,0.587893510808773,0.0124215226938695
AL,1989Q4,66332.6838673857,63016.0496740164,3316.63419336929,5%,0.593781381883513,0.0137534062820012
AL,1990Q1,66950.1917014241,63602.6821163529,3347.50958507121,5%,0.599309043869153,0.0152220506273007
AL,1990Q2,67566.2699999999,64187.9564999999,3378.3135,5%,0.604823909274089,0.0169571704142803
AL,1990Q3,68127.3869010272,64721.0175559758,3406.36934505136,5%,0.609846784114436,0.0186313117116149
AL,1990Q4,68740.0056818828,65303.0053977887,3437.00028409415,5%,0.615330681418991,0.0206569263001501
AL,1991Q1,69439.544522872,65967.5672967284,3471.9772261436,5%,0.621592649357967,0.0232299356373962
AL,1991Q2,70225.7400081789,66714.45300777,3511.28700040895,5%,0.628630329947364,0.0265704169063536
AL,1991Q3,71080.6712714845,67526.6377079103,3554.03356357422,5%,0.636283303373795,0.0309237226748045
AL,1991Q4,71999.5300304555,68399.5535289328,3599.97650152277,5%,0.644508527981749,0.03674897259571
AL,1992Q1,72983.9876913733,69334.7883068047,3649.19938456867,5%,0.653320965474467,0.0446743461664609
AL,1992Q2,74026.6827802239,70325.3486412127,3701.33413901119,5%,0.6626547191332,0.054993867502747
AL,1992Q3,75150.8936268025,71393.3489454624,3757.54468134012,5%,0.672718166457968,0.0681235773841087
AL,1992Q4,76325.8064788069,72509.5161548665,3816.29032394035,5%,0.683235476118626,0.0834196142663004
AL,1993Q1,77519.919875372,73643.9238816033,3875.99599376861,5%,0.693924660716608,0.0995712609771278
AL,1993Q2,78729.033885823,74792.5821915318,3936.45169429116,5%,0.704748124296277,0.116844782431909
AL,1993Q3,79962.7415674558,75964.604489083,3998.13707837279,5%,0.715791739740885,0.136930398458177
AL,1993Q4,81198.9051520274,77138.959894426,4059.94525760137,5%,0.726857339362159,0.16164364089154
AL,1994Q1,82415.6763456522,78294.8925283696,4120.78381728262,5%,0.737749346720568,0.192971429033356
AL,1994Q2,83592.1009918534,79235.6166074242,4356.48438442918,5.21159814472632%,0.7482801893064,0.229825774570358
AL,1994Q3,84708.5611915804,79654.8528900782,5053.70830150221,5.96599473584792%,0.758274256206168,0.266794345255959
AL,1994Q4,85789.3135465464,80168.1199819652,5621.19356458118,6.5523237477956%,0.767948681985299,0.297057468670764
AL,1995Q1,86858.8739585131,80825.5964894236,6033.27746908947,6.94606917419995%,0.777522922350654,0.319537786396897
AL,1995Q2,87945.1597785688,81578.1177354008,6367.04204316801,7.23978677075482%,0.787246881306434,0.337630189250235
AL,1995Q3,89070.4639611566,82367.5699367566,6702.89402440004,7.52538352929558%,0.797320115700389,0.355834618626849
AL,1995Q4,90221.9436593875,83132.3591282356,7089.58453115195,7.85793815074198%,0.807627661944007,0.376729325292015
AL,1996Q1,91395.5502911945,83815.2412595243,7580.30903167021,8.29395852152393%,0.818133278888667,0.402813088593936
AL,1996Q2,92568.8158459191,84411.8840690528,8156.93177686629,8.81174907805185%,0.828635842659394,0.433884746961382
AL,1996Q3,93706.7368185216,84910.7617280176,8795.97509050406,9.38670514964031%,0.838822017078885,0.468426059396548
AL,1996Q4,94808.3782534377,85305.1091183227,9503.26913511504,10.0236596281726%,0.848683432830921,0.50678417629375
AL,1997Q1,95868.2525222823,85605.2698495243,10262.982672758,10.7052985766822%,0.858170967049127,0.548181288518652
AL,1997Q2,96901.7696429214,85892.9367276886,11008.8329152328,11.3608172026165%,0.867422563521845,0.589047387284839
AL,1997Q3,97963.9538878159,86265.8456722499,11698.1082155659,11.9412373136369%,0.876930775642573,0.627132457103268
AL,1997Q4,99075.8012917238,86821.9431950238,12253.8580967,12.36816451337%,0.886883550797215,0.658298396403207
AL,1998Q1,100276.072726487,87633.6173461633,12642.4553803236,12.6076490997082%,0.897627859479099,0.681303785858559
AL,1998Q2,101563.890105562,88587.0813858082,12976.8087197536,12.776990627541%,0.909155841438784,0.700741635037642
AL,1998Q3,102909.684894285,89570.0888983243,13339.595995961,12.9624301246906%,0.921202811993714,0.721639918131252
AL,1998Q4,104268.355196234,90459.1331474685,13809.2220487654,13.2439243169956%,0.933365038552011,0.748243433542079
AL,1999Q1,105595.423426201,91162.581853334,14432.8415728669,13.6680559673628%,0.945244377084715,0.783162089907542
AL,1999Q2,106887.21803969,91702.7512568121,15184.4667828781,14.2060641687201%,0.956807961519817,0.824900930879206
AL,1999Q3,108149.354775251,92138.0581157185,16011.2966595325,14.8048009096366%,0.968106061510245,0.870614038671564
AL,1999Q4,109385.37655131,92525.1110283316,16860.2655229782,15.4136375944818%,0.979170391723291,0.917383898362202
AL,2000Q1,110576.334543724,92878.4790549289,17697.8554887954,16.0051023230448%,0.989831330513509,0.961422683296509
AL,2000Q2,111712.3,93321.6689346145,18390.6310653855,16.4624943407176%,1,1
AL,2000Q3,112819.534091373,93847.403070995,18972.1310203781,16.8163529243193%,1.0099114787841,1.03316770243504
AL,2000Q4,113941.988786965,94485.1234094721,19456.8653774934,17.0761152974708%,1.01995920580783,1.06174224103332
AL,2001Q1,115114.796890563,95311.251478627,19803.5454119363,17.2033013538329%,1.03045767467471,1.0865545957872
AL,2001Q2,116336.311065563,96164.0634480534,20172.24761751,17.3395970980562%,1.04139213914281,1.10905044060556
AL,2001Q3,117598.648718946,97065.435334255,20533.2133846913,17.4604160918247%,1.05269203766234,1.13055337598876
AL,2001Q4,118913.877848687,97980.4836704185,20933.3941782684,17.6038277087434%,1.06446539771079,1.15360757374443
AL,2002Q1,120296.085998587,98821.8515575147,21474.2344410726,17.8511497384252%,1.07683832486295,1.18130949874131
AL,2002Q2,121755.555423732,99629.4818051168,22126.0736186152,18.1725372132814%,1.0899028614014,1.21783013513815
AL,2002Q3,123308.876786413,100281.556388958,23027.3203974555,18.6745034076839%,1.10380751973071,1.26844309461336
AL,2002Q4,124959.423043199,100701.360800535,24258.0622426638,19.4127514771557%,1.11858249309341,1.33764611364251
AL,2003Q1,126668.024277652,100911.082340945,25756.9419367066,20.3342099030836%,1.13387714940657,1.42352980891891
AL,2003Q2,128440.28168298,101136.844601473,27303.4370815062,21.2576901294077%,1.14974162811955,1.51081161011945
AL,2003Q3,130276.94098124,101765.872345063,28511.0686361767,21.8849693748047%,1.16618260461238,1.57932095490007
AL,2003Q4,132180.104519267,103159.949011489,29020.1555077782,21.9550102591635%,1.18321889818102,1.60901504400524
AL,2004Q1,134247.492093006,105521.596426014,28725.8956669923,21.3977149361503%,1.20172525400521,1.59303380427571
AL,2004Q2,136569.227187145,108530.394181207,28038.8330059383,20.5308571948759%,1.22250841838495,1.55629547251294
AL,2004Q3,139172.49651661,111668.857286748,27503.6392298623,19.7622661935792%,1.24581175498679,1.52807083011739
AL,2004Q4,142034.177121198,114435.392364561,27598.7847566364,19.4310871622725%,1.27142827711181,1.53500191692177
AL,2005Q1,145178.407121079,116480.027540486,28698.3795805931,19.7676639038054%,1.29957405873014,1.59774944104977
AL,2005Q2,148606.922647609,118097.129517033,30509.7931305753,20.5305328897248%,1.33026464093577,1.70095055220049
AL,2005Q3,152310.231192001,119719.218432711,32591.0127592896,21.3977830013308%,1.36341505091204,1.81984671172645
AL,2005Q4,156196.107642447,121783.374442268,34412.7332001782,22.0317482423784%,1.39819972950558,1.92494852998254
AL,2006Q1,160082.857323472,124571.414066275,35511.4432571963,22.1831643006222%,1.43299222488009,1.99088219110423
AL,2006Q2,163778.007319691,127684.22892475,36093.7783949404,22.0382327185641%,1.46606960307585,2.02748553722076
AL,2006Q3,167140.479506124,130588.618270711,36551.8612354132,21.8689460167989%,1.4961689939794,2.05731611704235
AL,2006Q4,170067.232577175,132743.438830338,37323.793746837,21.9464932669495%,1.52236801656733,2.10507304685035
AL,2007Q1,172456.449429437,133836.784287742,38619.6651416959,22.3938653900546%,1.54375524834273,2.18397616644709
AL,2007Q2,174222.991628902,134313.025344174,39909.9662847274,22.9074049937889%,1.55956856701457,2.26135467997352
AL,2007Q3,175289.665390704,134896.201495289,40393.463895415,23.0438365007896%,1.56911696734114,2.29280672745125
AL,2007Q4,175691.69968556,136289.405740802,39402.2939447584,22.4269524486801%,1.57271580377058,2.24006700201873
AL,2008Q1,175509.887087752,138940.92281883,36568.9642689219,20.8358428551879%,1.57108829634474,2.08216512069896
AL,2008Q2,174909.571216407,142223.213706987,32686.3575094209,18.687575117876%,1.56571452934375,1.86312839860395
AL,2008Q3,174100.807953613,145271.222039879,28829.5859137338,16.5591339021328%,1.55847483181004,1.64466888932294
AL,2008Q4,173294.011310067,147212.851503079,26081.1598069878,15.0502372296767%,1.55125273859787,1.48878570793776
AL,2009Q1,172549.792254727,147444.7089964,25105.0832583268,14.5494717381435%,1.54459081278182,1.43341048845369
AL,2009Q2,171734.080242524,146471.095411437,25262.9848310874,14.7105250136786%,1.53728891306082,1.44281248215248
AL,2009Q3,170753.407878616,145055.215363977,25698.1925146394,15.049885582903%,1.52851035990322,1.46785055124523
AL,2009Q4,169554.958487784,143964.571216449,25590.3872713348,15.0926799779663%,1.5177823613674,1.46166153987981
AL,2010Q1,167815.890889316,143760.606105915,24055.284783401,14.3343307096387%,1.5022149833932,1.3718283964321
AL,2010Q2,165802.138337672,144426.532136982,21375.6062006901,12.8922379500056%,1.48418874499649,1.21931573920106
AL,2010Q3,163758.82462564,145654.972185375,18103.8524402647,11.0551919761582%,1.46589788792854,1.03328979591076
AL,2010Q4,161896.807366587,147172.309069004,14724.4982975834,9.09498991184078%,1.44922991798206,0.841081010849354
AL,2011Q1,160572.53642827,148751.333222418,11821.2032058525,7.36190849867603%,1.43737561958952,0.676345429813412
